dataset,class_name,shap_gsd_feature_group,expected_rank_or_direction,source_citation,mapper_confidence,notes
unsw_nb15,Worms,DST_TO_SRC_AVG_THROUGHPUT,2,MITRE T1210 (Conficker/WannaCry cited on MITRE's own T1210 page); Ongun2021Portfiler; Jung2004 (source2 sec.10),high,"MITRE doc grades high at tactic level, medium for a single technique ID; the feature-level claim rests on Ongun2021Portfiler, which is established and directly about self-propagating-malware flow features. low/zero reverse-direction rate."
unsw_nb15,Worms,SERVER_TCP_FLAGS,2,MITRE T1210 (Conficker/WannaCry cited on MITRE's own T1210 page); Ongun2021Portfiler; Jung2004 (source2 sec.10),high,"MITRE doc grades high at tactic level, medium for a single technique ID; the feature-level claim rests on Ongun2021Portfiler, which is established and directly about self-propagating-malware flow features. absent or RST server response."
unsw_nb15,Worms,OUT_PKTS,2,MITRE T1210 (Conficker/WannaCry cited on MITRE's own T1210 page); Ongun2021Portfiler; Jung2004 (source2 sec.10),high,"MITRE doc grades high at tactic level, medium for a single technique ID; the feature-level claim rests on Ongun2021Portfiler, which is established and directly about self-propagating-malware flow features. low/zero reverse-direction packet count."
unsw_nb15,Worms,DST_PORT_GROUP,3,MITRE T1210 (Conficker/WannaCry cited on MITRE's own T1210 page); Ongun2021Portfiler; Jung2004 (source2 sec.10),high,"MITRE doc grades high at tactic level, medium for a single technique ID; the feature-level claim rests on Ongun2021Portfiler, which is established and directly about self-propagating-malware flow features. per-flow proxy for the distinct-destination-service signal."
unsw_nb15,Shellcode,TCP_WIN_MAX_IN,1,"Zoghi2023 (source2 sec.14, UNSW-NB15-specific descriptive study); Moustafa2015UNSWNB15",medium,"MITRE doc grades medium-high on technique, but the feature-level claim rests on a single dataset-bound study, so medium is taken. research_plan sec.5.3's 'ICMP codes' sketch is NOT carried over: it has no source-2 backing. TCP window-size fields concentrated near zero."
unsw_nb15,Shellcode,TCP_WIN_MAX_OUT,1,"Zoghi2023 (source2 sec.14, UNSW-NB15-specific descriptive study); Moustafa2015UNSWNB15",medium,"MITRE doc grades medium-high on technique, but the feature-level claim rests on a single dataset-bound study, so medium is taken. research_plan sec.5.3's 'ICMP codes' sketch is NOT carried over: it has no source-2 backing. TCP window-size fields concentrated near zero."
unsw_nb15,Shellcode,FLOW_DURATION_MILLISECONDS,1,"Zoghi2023 (source2 sec.14, UNSW-NB15-specific descriptive study); Moustafa2015UNSWNB15",medium,"MITRE doc grades medium-high on technique, but the feature-level claim rests on a single dataset-bound study, so medium is taken. research_plan sec.5.3's 'ICMP codes' sketch is NOT carried over: it has no source-2 backing. markedly shorter durations than other classes."
unsw_nb15,Shellcode,SRC_TO_DST_SECOND_BYTES,2,"Zoghi2023 (source2 sec.14, UNSW-NB15-specific descriptive study); Moustafa2015UNSWNB15",medium,"MITRE doc grades medium-high on technique, but the feature-level claim rests on a single dataset-bound study, so medium is taken. research_plan sec.5.3's 'ICMP codes' sketch is NOT carried over: it has no source-2 backing. pronounced source/destination byte-count asymmetry."
unsw_nb15,Shellcode,DST_TO_SRC_SECOND_BYTES,2,"Zoghi2023 (source2 sec.14, UNSW-NB15-specific descriptive study); Moustafa2015UNSWNB15",medium,"MITRE doc grades medium-high on technique, but the feature-level claim rests on a single dataset-bound study, so medium is taken. research_plan sec.5.3's 'ICMP codes' sketch is NOT carried over: it has no source-2 backing. the other side of that asymmetry."
unsw_nb15,Shellcode,SHORTEST_FLOW_PKT,3,"Zoghi2023 (source2 sec.14, UNSW-NB15-specific descriptive study); Moustafa2015UNSWNB15",medium,"MITRE doc grades medium-high on technique, but the feature-level claim rests on a single dataset-bound study, so medium is taken. research_plan sec.5.3's 'ICMP codes' sketch is NOT carried over: it has no source-2 backing. small-magnitude, low-volume flow signature."
unsw_nb15,Backdoor,SRC_TO_DST_IAT_AVG,1,MITRE Persistence TA0003 + C2 TA0011 (T1505.003/T1543/T1071); Harsha2016; Zhao2013; Gardiner2014 (source2 sec.3),medium,"Source-2 grounding is solid for C2/botnet populations but not specific to a single backdoor implant, per source2 sec.3's own stated gap. check-in ('beaconing') interval periodicity."
unsw_nb15,Backdoor,SRC_TO_DST_IAT_STDDEV,1,MITRE Persistence TA0003 + C2 TA0011 (T1505.003/T1543/T1071); Harsha2016; Zhao2013; Gardiner2014 (source2 sec.3),medium,"Source-2 grounding is solid for C2/botnet populations but not specific to a single backdoor implant, per source2 sec.3's own stated gap. regularity of that interval is the discriminator."
unsw_nb15,Backdoor,FLOW_DURATION_MILLISECONDS,1,MITRE Persistence TA0003 + C2 TA0011 (T1505.003/T1543/T1071); Harsha2016; Zhao2013; Gardiner2014 (source2 sec.3),medium,"Source-2 grounding is solid for C2/botnet populations but not specific to a single backdoor implant, per source2 sec.3's own stated gap. persistent connection over an extended period."
unsw_nb15,Backdoor,SRC_TO_DST_AVG_THROUGHPUT,2,MITRE Persistence TA0003 + C2 TA0011 (T1505.003/T1543/T1071); Harsha2016; Zhao2013; Gardiner2014 (source2 sec.3),medium,"Source-2 grounding is solid for C2/botnet populations but not specific to a single backdoor implant, per source2 sec.3's own stated gap. characteristically low-rate outbound channel."
unsw_nb15,Backdoor,NUM_PKTS_UP_TO_128_BYTES,2,MITRE Persistence TA0003 + C2 TA0011 (T1505.003/T1543/T1071); Harsha2016; Zhao2013; Gardiner2014 (source2 sec.3),medium,"Source-2 grounding is solid for C2/botnet populations but not specific to a single backdoor implant, per source2 sec.3's own stated gap. small, consistent check-in payloads."
unsw_nb15,Backdoor,DURATION_OUT,2,MITRE Persistence TA0003 + C2 TA0011 (T1505.003/T1543/T1071); Harsha2016; Zhao2013; Gardiner2014 (source2 sec.3),medium,"Source-2 grounding is solid for C2/botnet populations but not specific to a single backdoor implant, per source2 sec.3's own stated gap. flow-interval-aggregated duration feature."
unsw_nb15,Backdoor,L7_PROTO,3,MITRE Persistence TA0003 + C2 TA0011 (T1505.003/T1543/T1071); Harsha2016; Zhao2013; Gardiner2014 (source2 sec.3),medium,"Source-2 grounding is solid for C2/botnet populations but not specific to a single backdoor implant, per source2 sec.3's own stated gap. application-layer protocol carrying the channel."
unsw_nb15,Fuzzers,L7_PROTO,1,"Bashurov2023 (source2 sec.9, the only UNSW-Fuzzers-specific empirical result); Zhang2024ProtocolFuzzing; Moustafa2015UNSWNB15",medium,"MITRE doc grades this class LOW because ATT&CK does not model fuzzing at all; the feature-level claim is nonetheless better supported than that, by one directly UNSW-Fuzzers-specific entropy study. Confidence therefore reflects the feature claim, not the (absent) technique mapping. Shannon entropy of the categorical service field is the most discriminative tested attribute for UNSW-NB15 Fuzzers."
unsw_nb15,Fuzzers,DST_PORT_GROUP,2,"Bashurov2023 (source2 sec.9, the only UNSW-Fuzzers-specific empirical result); Zhang2024ProtocolFuzzing; Moustafa2015UNSWNB15",medium,"MITRE doc grades this class LOW because ATT&CK does not model fuzzing at all; the feature-level claim is nonetheless better supported than that, by one directly UNSW-Fuzzers-specific entropy study. Confidence therefore reflects the feature claim, not the (absent) technique mapping. the service dimension the same entropy result is computed over."
unsw_nb15,Fuzzers,LONGEST_FLOW_PKT,2,"Bashurov2023 (source2 sec.9, the only UNSW-Fuzzers-specific empirical result); Zhang2024ProtocolFuzzing; Moustafa2015UNSWNB15",medium,"MITRE doc grades this class LOW because ATT&CK does not model fuzzing at all; the feature-level claim is nonetheless better supported than that, by one directly UNSW-Fuzzers-specific entropy study. Confidence therefore reflects the feature claim, not the (absent) technique mapping. malformed/random input causes packet-size irregularity."
unsw_nb15,Fuzzers,SHORTEST_FLOW_PKT,3,"Bashurov2023 (source2 sec.9, the only UNSW-Fuzzers-specific empirical result); Zhang2024ProtocolFuzzing; Moustafa2015UNSWNB15",medium,"MITRE doc grades this class LOW because ATT&CK does not model fuzzing at all; the feature-level claim is nonetheless better supported than that, by one directly UNSW-Fuzzers-specific entropy study. Confidence therefore reflects the feature claim, not the (absent) technique mapping. same size-irregularity expectation, lower bound."
unsw_nb15,Fuzzers,MIN_IP_PKT_LEN,3,"Bashurov2023 (source2 sec.9, the only UNSW-Fuzzers-specific empirical result); Zhang2024ProtocolFuzzing; Moustafa2015UNSWNB15",medium,"MITRE doc grades this class LOW because ATT&CK does not model fuzzing at all; the feature-level claim is nonetheless better supported than that, by one directly UNSW-Fuzzers-specific entropy study. Confidence therefore reflects the feature claim, not the (absent) technique mapping. same size-irregularity expectation."
unsw_nb15,Exploits,DST_PORT_GROUP,1,MITRE T1190/T1203/T1210 (concept-level only); source2 sec.8 reports NO verified per-class flow-feature study for this category after two independent search passes,low,"Deliberate divergence from the MITRE doc's medium-high technique grading: the technique attribution is stronger than the feature-level evidence, and this column scores a feature-level claim. Only target-service identity is defensible; the set is short on purpose. identity of the exploited target service."
unsw_nb15,Exploits,L7_PROTO,2,MITRE T1190/T1203/T1210 (concept-level only); source2 sec.8 reports NO verified per-class flow-feature study for this category after two independent search passes,low,"Deliberate divergence from the MITRE doc's medium-high technique grading: the technique attribution is stronger than the feature-level evidence, and this column scores a feature-level claim. Only target-service identity is defensible; the set is short on purpose. application-layer protocol of the exploited service."
unsw_nb15,Exploits,PROTOCOL,2,MITRE T1190/T1203/T1210 (concept-level only); source2 sec.8 reports NO verified per-class flow-feature study for this category after two independent search passes,low,"Deliberate divergence from the MITRE doc's medium-high technique grading: the technique attribution is stronger than the feature-level evidence, and this column scores a feature-level claim. Only target-service identity is defensible; the set is short on purpose. transport protocol of the exploited service."
unsw_nb15,Analysis,DST_PORT_GROUP,1,"Moustafa2015UNSWNB15 (composite 'port scan, spam, HTML penetration' label); Jung2004; Staniford2002 via source2 sec.1, for the port-scan sub-component only",low,"MITRE doc grades low-medium: a composite of three unrelated behaviours across two tactics. Only the port-scan sub-component is mapped; the spam and HTML-penetration sub-components are left unmapped rather than guessed. port-scan sub-component only, inheriting Reconnaissance grounding."
unsw_nb15,Analysis,TCP_FLAGS,2,"Moustafa2015UNSWNB15 (composite 'port scan, spam, HTML penetration' label); Jung2004; Staniford2002 via source2 sec.1, for the port-scan sub-component only",low,MITRE doc grades low-medium: a composite of three unrelated behaviours across two tactics. Only the port-scan sub-component is mapped; the spam and HTML-penetration sub-components are left unmapped rather than guessed. port-scan sub-component only.
unsw_nb15,Analysis,IN_PKTS,3,"Moustafa2015UNSWNB15 (composite 'port scan, spam, HTML penetration' label); Jung2004; Staniford2002 via source2 sec.1, for the port-scan sub-component only",low,MITRE doc grades low-medium: a composite of three unrelated behaviours across two tactics. Only the port-scan sub-component is mapped; the spam and HTML-penetration sub-components are left unmapped rather than guessed. port-scan sub-component only.
bot_iot,DDoS,SRC_TO_DST_AVG_THROUGHPUT,1,MITRE T1498/T1498.001 (Mirai/Mozi/Matrix; Mozi carries a third-party T1498 mapping via Huntress); Koroniotis2019BoTIoT; Feinstein2003; Mirkovic2004; Peng2007 (source2 sec.2),high,"MITRE doc grades high. Source 1 (Koroniotis2019BoTIoT) documents four Kali bot VMs flooding a single victim, converging with source 2. elevated packet/byte rate toward the victim."
bot_iot,DDoS,SRC_TO_DST_IAT_AVG,1,MITRE T1498/T1498.001 (Mirai/Mozi/Matrix; Mozi carries a third-party T1498 mapping via Huntress); Koroniotis2019BoTIoT; Feinstein2003; Mirkovic2004; Peng2007 (source2 sec.2),high,"MITRE doc grades high. Source 1 (Koroniotis2019BoTIoT) documents four Kali bot VMs flooding a single victim, converging with source 2. markedly compressed inter-packet timing."
bot_iot,DDoS,TCP_FLAGS,1,MITRE T1498/T1498.001 (Mirai/Mozi/Matrix; Mozi carries a third-party T1498 mapping via Huntress); Koroniotis2019BoTIoT; Feinstein2003; Mirkovic2004; Peng2007 (source2 sec.2),high,"MITRE doc grades high. Source 1 (Koroniotis2019BoTIoT) documents four Kali bot VMs flooding a single victim, converging with source 2. SYN without corresponding ACK/FIN completion."
bot_iot,DDoS,SRC_TO_DST_SECOND_BYTES,2,MITRE T1498/T1498.001 (Mirai/Mozi/Matrix; Mozi carries a third-party T1498 mapping via Huntress); Koroniotis2019BoTIoT; Feinstein2003; Mirkovic2004; Peng2007 (source2 sec.2),high,"MITRE doc grades high. Source 1 (Koroniotis2019BoTIoT) documents four Kali bot VMs flooding a single victim, converging with source 2. byte-rate elevation, direction-explicit."
bot_iot,DDoS,SRC_TO_DST_IAT_STDDEV,2,MITRE T1498/T1498.001 (Mirai/Mozi/Matrix; Mozi carries a third-party T1498 mapping via Huntress); Koroniotis2019BoTIoT; Feinstein2003; Mirkovic2004; Peng2007 (source2 sec.2),high,"MITRE doc grades high. Source 1 (Koroniotis2019BoTIoT) documents four Kali bot VMs flooding a single victim, converging with source 2. low timing dispersion of an automated flood."
bot_iot,DDoS,IN_PKTS,2,MITRE T1498/T1498.001 (Mirai/Mozi/Matrix; Mozi carries a third-party T1498 mapping via Huntress); Koroniotis2019BoTIoT; Feinstein2003; Mirkovic2004; Peng2007 (source2 sec.2),high,"MITRE doc grades high. Source 1 (Koroniotis2019BoTIoT) documents four Kali bot VMs flooding a single victim, converging with source 2. elevated packet volume."
bot_iot,DDoS,FLOW_DURATION_MILLISECONDS,3,MITRE T1498/T1498.001 (Mirai/Mozi/Matrix; Mozi carries a third-party T1498 mapping via Huntress); Koroniotis2019BoTIoT; Feinstein2003; Mirkovic2004; Peng2007 (source2 sec.2),high,"MITRE doc grades high. Source 1 (Koroniotis2019BoTIoT) documents four Kali bot VMs flooding a single victim, converging with source 2. skewed flow-duration distribution vs. benign."
bot_iot,DoS,SRC_TO_DST_AVG_THROUGHPUT,1,"MITRE T1498 (same technique as DDoS, differentiated only by source cardinality per the BoT-IoT mapping doc); Koroniotis2019BoTIoT; Najafimehr2023 (source2 sec.2)",high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. Feature expectation is deliberately identical to DDoS: BoT-IoT's own DoS/DDoS distinction is source cardinality, which is a structural, not a per-flow-feature, difference. elevated packet/byte rate toward the victim."
bot_iot,DoS,SRC_TO_DST_IAT_AVG,1,"MITRE T1498 (same technique as DDoS, differentiated only by source cardinality per the BoT-IoT mapping doc); Koroniotis2019BoTIoT; Najafimehr2023 (source2 sec.2)",high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. Feature expectation is deliberately identical to DDoS: BoT-IoT's own DoS/DDoS distinction is source cardinality, which is a structural, not a per-flow-feature, difference. markedly compressed inter-packet timing."
bot_iot,DoS,TCP_FLAGS,1,"MITRE T1498 (same technique as DDoS, differentiated only by source cardinality per the BoT-IoT mapping doc); Koroniotis2019BoTIoT; Najafimehr2023 (source2 sec.2)",high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. Feature expectation is deliberately identical to DDoS: BoT-IoT's own DoS/DDoS distinction is source cardinality, which is a structural, not a per-flow-feature, difference. SYN without corresponding ACK/FIN completion."
bot_iot,DoS,SRC_TO_DST_SECOND_BYTES,2,"MITRE T1498 (same technique as DDoS, differentiated only by source cardinality per the BoT-IoT mapping doc); Koroniotis2019BoTIoT; Najafimehr2023 (source2 sec.2)",high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. Feature expectation is deliberately identical to DDoS: BoT-IoT's own DoS/DDoS distinction is source cardinality, which is a structural, not a per-flow-feature, difference. byte-rate elevation, direction-explicit."
bot_iot,DoS,SRC_TO_DST_IAT_STDDEV,2,"MITRE T1498 (same technique as DDoS, differentiated only by source cardinality per the BoT-IoT mapping doc); Koroniotis2019BoTIoT; Najafimehr2023 (source2 sec.2)",high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. Feature expectation is deliberately identical to DDoS: BoT-IoT's own DoS/DDoS distinction is source cardinality, which is a structural, not a per-flow-feature, difference. low timing dispersion of an automated flood."
bot_iot,DoS,IN_PKTS,2,"MITRE T1498 (same technique as DDoS, differentiated only by source cardinality per the BoT-IoT mapping doc); Koroniotis2019BoTIoT; Najafimehr2023 (source2 sec.2)",high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. Feature expectation is deliberately identical to DDoS: BoT-IoT's own DoS/DDoS distinction is source cardinality, which is a structural, not a per-flow-feature, difference. elevated packet volume."
bot_iot,DoS,FLOW_DURATION_MILLISECONDS,3,"MITRE T1498 (same technique as DDoS, differentiated only by source cardinality per the BoT-IoT mapping doc); Koroniotis2019BoTIoT; Najafimehr2023 (source2 sec.2)",high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. Feature expectation is deliberately identical to DDoS: BoT-IoT's own DoS/DDoS distinction is source cardinality, which is a structural, not a per-flow-feature, difference. skewed flow-duration distribution vs. benign."
bot_iot,Reconnaissance,DST_PORT_GROUP,1,MITRE T1595 / T1595.001 / T1595.002 (T1046 alternate); Koroniotis2019BoTIoT (Nmap/Hping3/Xprobe2 over the full 0-65535 port range); Jung2004; Staniford2002 (source2 sec.1),high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. The NF-v3 re-export merges OS_Fingerprint and Service_Scan into one label, so this profile is a superset over two sub-behaviours. ICMP_TYPE/ICMP_IPV4_TYPE were considered (Xprobe2 is an ICMP-based OS fingerprinter, per source 1's tool list) but left unmapped: source 2's scanning signature is TCP-handshake based and the ICMP claim would rest on tool identity alone. per-flow proxy for the destination-port dispersion signal."
bot_iot,Reconnaissance,TCP_FLAGS,1,MITRE T1595 / T1595.001 / T1595.002 (T1046 alternate); Koroniotis2019BoTIoT (Nmap/Hping3/Xprobe2 over the full 0-65535 port range); Jung2004; Staniford2002 (source2 sec.1),high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. The NF-v3 re-export merges OS_Fingerprint and Service_Scan into one label, so this profile is a superset over two sub-behaviours. ICMP_TYPE/ICMP_IPV4_TYPE were considered (Xprobe2 is an ICMP-based OS fingerprinter, per source 1's tool list) but left unmapped: source 2's scanning signature is TCP-handshake based and the ICMP claim would rest on tool identity alone. SYN-heavy / half-open handshakes, no completion."
bot_iot,Reconnaissance,IN_PKTS,2,MITRE T1595 / T1595.001 / T1595.002 (T1046 alternate); Koroniotis2019BoTIoT (Nmap/Hping3/Xprobe2 over the full 0-65535 port range); Jung2004; Staniford2002 (source2 sec.1),high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. The NF-v3 re-export merges OS_Fingerprint and Service_Scan into one label, so this profile is a superset over two sub-behaviours. ICMP_TYPE/ICMP_IPV4_TYPE were considered (Xprobe2 is an ICMP-based OS fingerprinter, per source 1's tool list) but left unmapped: source 2's scanning signature is TCP-handshake based and the ICMP claim would rest on tool identity alone. minimal per-flow packet count (probes terminated before exchange)."
bot_iot,Reconnaissance,IN_BYTES,2,MITRE T1595 / T1595.001 / T1595.002 (T1046 alternate); Koroniotis2019BoTIoT (Nmap/Hping3/Xprobe2 over the full 0-65535 port range); Jung2004; Staniford2002 (source2 sec.1),high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. The NF-v3 re-export merges OS_Fingerprint and Service_Scan into one label, so this profile is a superset over two sub-behaviours. ICMP_TYPE/ICMP_IPV4_TYPE were considered (Xprobe2 is an ICMP-based OS fingerprinter, per source 1's tool list) but left unmapped: source 2's scanning signature is TCP-handshake based and the ICMP claim would rest on tool identity alone. minimal per-flow byte count."
bot_iot,Reconnaissance,SERVER_TCP_FLAGS,2,MITRE T1595 / T1595.001 / T1595.002 (T1046 alternate); Koroniotis2019BoTIoT (Nmap/Hping3/Xprobe2 over the full 0-65535 port range); Jung2004; Staniford2002 (source2 sec.1),high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. The NF-v3 re-export merges OS_Fingerprint and Service_Scan into one label, so this profile is a superset over two sub-behaviours. ICMP_TYPE/ICMP_IPV4_TYPE were considered (Xprobe2 is an ICMP-based OS fingerprinter, per source 1's tool list) but left unmapped: source 2's scanning signature is TCP-handshake based and the ICMP claim would rest on tool identity alone. RST / no-response rate from the probed service."
bot_iot,Reconnaissance,CLIENT_TCP_FLAGS,2,MITRE T1595 / T1595.001 / T1595.002 (T1046 alternate); Koroniotis2019BoTIoT (Nmap/Hping3/Xprobe2 over the full 0-65535 port range); Jung2004; Staniford2002 (source2 sec.1),high,"No explained flows for this class in the current run, so this row records the literature expectation without being scoreable yet; eval04 reports it as rho-undefined rather than as disagreement. The NF-v3 re-export merges OS_Fingerprint and Service_Scan into one label, so this profile is a superset over two sub-behaviours. ICMP_TYPE/ICMP_IPV4_TYPE were considered (Xprobe2 is an ICMP-based OS fingerprinter, per source 1's tool list) but left unmapped: source 2's scanning signature is TCP-handshake based and the ICMP claim would rest on tool identity alone. client-side SYN without ACK/FIN completion."
